	X	Y	id	Name	Line	Info	Open_date	Close_date	Start_map	End_map
73	2.3940389603483196	48.86455769392611	190874	Martin-Nadaud	3				1908	1950
74	2.3893240074980397	48.8585823081356	190875	Philippe-Auguste	2 Nord				1908	1908
75	2.39786694187033	48.8651645690454	190876	Gambetta	3				1908	1950
76	2.39361881603493	48.856248173061196	190877	Bagnolet	2 Nord				1908	1908
77	2.37382535060405	48.8653512998514	190878	Parmentier	3				1908	1950
78	2.37849362075285	48.86432428041861	190879	Saint-Maur	3				1908	1950
79	2.36948385936568	48.863717405299305	190880	Oberkampf	5				1908	1950
80	2.37125780202222	48.86068302970261	190881	Richard-Lenoir	5				1908	1950
81	2.3701840998879997	48.8576486541059	190882	Breguet-Sabin	5				1908	1950
82	2.3684101572314598	48.85396072068829	190883	La Bastille	5				1908	1950
